NAME,STATE,Households,Avg household size,High school or more attained,Bachelors or higher,Veterans,Same house 1 year and over,Foreign born persons,Language other than english spoken at home,Mean travel time to work,Median household income,Per capita income,Percentage of individuals below the poverty level,Number of housing units,Number of two-unit structures,Number of three or four unit structures,Number of 5-9 unit structures,Number of 10-19 unit structures,Number of 20+ unit structures,Number of owner-occupied units,Median value of owner-occupied units,Total Population,Female persons,Persons under 5 years,Persons under 18 years,Persons over 65,White only,Black or African american only,Alaskan native or American Indian only,Asian only,Native Hawaiian or Pacific Islander,Two or more races,Hispanic or Latino,White alone not hispanic or latino,ESTAB,EMP,NESTAB,All Firms,Black Owned Firms,American Indian and Alaskan Native Owned Firms,Asian Owned Firms,Native Hawaiian or Pacific Islander Owned Firms,Hispanic Owned Firms,Women Owned Firms,Retail Sales,Accommodation and Food Sales,Population Density
Attala County,Mississippi,6311,2.77,84.1,16.2,7,86.5,0.3,1.9,35.6,42680,27625,23.6,8354,1,3.1,2.4,0.8,0.9,75.2,99100,17842,52.2,6.1,25.2,19.2,53.1,42.2,0.1,0.3,0,3.3,1.9,0.8,340,4365,1363,335,0,0,0,0,0,0,188040,18339,24.72798405
Benton County,Mississippi,3086,2.44,78,11,8.5,92,6.8,7,35.2,38750,24690,17.6,4080,0.2,0.3,0.1,0.8,0.1,81,96200,7637,50.5,4.3,21,20.7,60.8,33.3,0,0.4,0.1,3.4,2.1,0.1,77,1258,671,2000.777778,134.3333333,0,207.1111111,0,40,360.6666667,27389,0,20.31153042
Bolivar County,Mississippi,11704,2.49,82.2,27.2,3.9,90.5,2.2,2.9,19.2,37845,25440,31.8,13685,4.2,5.6,5.4,2.1,1.6,59.6,118200,30688,52.9,6.4,24.5,16.4,31.1,63.2,0,0.8,0,3.4,3.6,0.5,680,7756,2344,628,33,0,0,0,0,75,381598,48707,34.93710662
Calhoun County,Mississippi,5641,2.28,78.3,12,3.9,93.1,3.8,5.4,27.8,44505,24192,18.8,6743,2.9,2.6,1.4,0.2,0.4,71.2,82900,13193,50.6,5,22.6,19.6,64,28.4,0,0,0,1.6,6.6,1.3,236,1964,932,273,0,0,0,0,0,49,96320,3653,24.482866
Carroll County,Mississippi,4037,2.36,78.8,18,5.4,93,0,0.2,32.7,42285,29588,21.8,4946,0.2,1.7,2.1,0,0.1,82.3,103700,9930,46.6,4.1,17.8,24,63.3,35.8,0,0,0,0.8,0,0,119,639,834,108,0,0,0,0,0,0,30626,658,15.83186126
Chickasaw County,Mississippi,6767,2.44,76,11.3,3.5,94.4,2.5,4,22.5,40224,21968,26.6,7794,4.2,2.2,1,0.5,0.4,67.8,88000,17024,51.4,7.5,24.8,18.5,50.3,44.2,0,0.2,0,2,3.5,0.9,319,5548,1151,303,21,0,0,0,0,28,153242,0,34.08454772
Choctaw County,Mississippi,3532,2.27,86.9,17.3,5.8,93.3,0.1,1,30,41887,27628,19.1,4350,0.1,2.5,1.5,0.4,0.3,76.2,104200,8208,50.3,4.4,21.2,22.2,67.4,29.2,0.1,0.4,0,1.4,1.6,1,126,1495,824,112,0,0,0,0,0,0,30387,0,19.63194311
Claiborne County,Mississippi,2624,3.02,82.1,22.3,4.2,92.8,1,0.9,24.5,34282,17250,30.4,3948,0.8,0.2,0.9,0.5,2.4,75.5,78500,9044,51.3,6.1,21.5,18.1,11.1,85.8,0,0.1,0,2.8,0.2,0.1,100,2033,486,75,0,0,0,0,0,0,33404,8821,18.44012337
Clarke County,Mississippi,6117,2.53,85.7,12.7,6.5,92.5,1,1.6,31.2,46329,26435,20.6,7631,1.5,1.8,0.5,0,0,85.7,99300,15553,53.1,5.9,22.3,20.7,63.4,34.3,0.1,0.1,0,2.1,0.9,0.7,218,1785,1112,150,0,0,0,0,0,0,63422,9495,22.4718151
Clay County,Mississippi,7582,2.41,81.7,18,6.6,93.9,0.5,0.3,22.2,37412,24702,23,9018,3.3,2.4,6.5,0.6,0.3,68.3,110600,18598,52.7,5.8,22.7,19,38,60,0,0,0,1.9,0.2,0.1,336,4508,1668,258,0,0,0,0,0,0,183460,26546,47.10461324
