NAME,STATE,Households,Avg household size,High school or more attained,Bachelors or higher,Veterans,Same house 1 year and over,Foreign born persons,Language other than english spoken at home,Mean travel time to work,Median household income,Per capita income,Percentage of individuals below the poverty level,Number of housing units,Number of two-unit structures,Number of three or four unit structures,Number of 5-9 unit structures,Number of 10-19 unit structures,Number of 20+ unit structures,Number of owner-occupied units,Median value of owner-occupied units,Total Population,Female persons,Persons under 5 years,Persons under 18 years,Persons over 65,White only,Black or African american only,Alaskan native or American Indian only,Asian only,Native Hawaiian or Pacific Islander,Two or more races,Hispanic or Latino,White alone not hispanic or latino,ESTAB,EMP,NESTAB,All Firms,Black Owned Firms,American Indian and Alaskan Native Owned Firms,Asian Owned Firms,Native Hawaiian or Pacific Islander Owned Firms,Hispanic Owned Firms,Women Owned Firms,Retail Sales,Accommodation and Food Sales,Population Density,Outcome
Autauga County,Alabama,20800,2.62,87.6,24.6,12.3,84.5,1.8,3.8,26.1,53099,26168,12.3,22714,0.6,1.3,2.5,2.4,2.2,73.2,141000,55049,51.2,5.8,25.2,14,76.9,18.5,0.4,0.8,0.1,2,55049,75.7,851,10790,3153,856,0,0,94,0,0,104,666340,0,93.22287257,R
Baldwin County,Alabama,75149,2.62,90,29.5,12.5,86.8,3.3,5.5,27.2,51365,28069,13,107579,1.6,2.8,2.2,3.5,14.8,71.7,173400,199510,51.2,5.7,22.2,18.7,86.4,9.3,0.7,0.7,0,2,199510,83.2,5235,61341,18470,4374,30,0,152,0,0,891,3703387,794102,131.1875276,R
Barbour County,Alabama,9122,2.6,73.8,12.9,8.4,87.6,2.9,5.9,23.7,33956,17249,26.4,11802,4.1,3,3.5,1.1,0.4,63.9,90300,26614,46.5,5.5,21.5,16.5,46.7,47.9,0.2,0.5,0,0.6,26614,45.9,452,6857,1439,441,0,0,0,0,0,62,205813,29304,29.34308853,R
Bibb County,Alabama,7048,2.92,80.7,12,7.2,86.7,1.4,2.5,29.1,39776,18988,16.5,8972,1.4,1.4,2.3,0.9,1.2,72.6,97200,22572,46.5,5.1,21.1,14.9,77,21.2,0.4,0.1,0,1.4,22572,74.8,290,3387,1232,280,0,0,0,0,0,0,119780,18712,36.36946913,R
Blount County,Alabama,20619,2.77,80,13,10.1,93.6,4.3,7.6,35.1,46212,21033,16.5,23850,1.2,1.1,0.8,0.4,0.4,78.8,124200,57704,50.5,6.1,23.6,17.2,95.4,1.6,0.3,0.2,0,1.6,57704,87.7,675,6286,3663,586,0,0,0,0,0,0,340887,35915,89.49037134,R
Bullock County,Alabama,3556,2.84,66.6,10.3,4.9,91,1.5,2.9,26.4,29335,17909,26.9,4462,3.7,0.2,2,0,1.1,73.1,68000,10552,45.8,6,21.6,15.1,21.8,75.5,0.8,0.8,0,1.1,10552,21.7,107,2097,508,75,0,0,0,0,0,0,58730,4616,16.63761424,D
Butler County,Alabama,7675,2.6,81.1,16.1,8.6,92.7,1.4,2.4,23.2,34315,19011,25.7,9914,3,3.6,4.4,0.9,0.7,70.3,83000,20280,53,6,23.3,18.1,53.6,43.8,0.1,1,0,1.3,20280,52.8,409,6157,1023,365,0,0,0,0,0,22,220594,0,25.74313712,R
Calhoun County,Alabama,45071,2.51,82.3,17.7,11.5,83.2,2.4,3.9,24.6,41954,22231,19.6,53326,2.7,3.1,3.4,2.1,1.7,69,107900,115883,51.9,5.6,22.1,15.9,74.9,20.5,0.3,0.9,0,2.3,115883,73,2326,35843,6412,1679,0,0,100,0,0,198,1652250,246993,189.1616895,R
Chambers County,Alabama,13851,2.42,80.3,12.5,9.1,88,1,0.9,24.5,36027,21532,20.3,16905,3,2.4,2.6,2.1,1.5,67.6,83000,34018,52.1,6,21.4,18.4,57.1,40.5,0.2,0.9,0,1.1,34018,56.7,547,6276,2289,517,0,0,56,0,0,83,297074,43828,56.73297503,R
Cherokee County,Alabama,10999,2.32,81.3,14,11,91.6,0.7,1,27.6,38925,22544,16.4,16260,1.6,0.7,0.6,0.5,1.4,79.2,112500,25897,50.3,4.9,20.6,20.3,93.3,4.7,0.6,0.4,0,1,25897,91.9,361,3905,1536,309,0,0,0,0,0,54,207791,21937,46.45850291,R
Chilton County,Alabama,16619,2.61,80.1,14.9,9.3,87.4,5.6,8,32,42594,22045,20.3,19260,1.1,0.9,1.4,0.6,0.4,76,99100,43817,50.8,6.5,24.2,15.2,83.8,10.1,0.3,0.4,0,1,43817,80.6,738,7609,2955,645,0,0,0,0,0,83,510609,47112,63.42031064,R
Choctaw County,Alabama,5562,2.36,78.9,12,8.8,90.7,0.2,0.8,31.8,32622,20773,21,7241,0.1,0.7,2,0.4,1.1,80.5,64600,13287,52.2,4.9,20.8,20.7,56.4,42.6,0,0,0,0.9,13287,56.2,252,2835,854,231,0,0,0,0,0,0,90260,0,14.22331079,R
Clarke County,Alabama,9554,2.56,81,12.1,6.7,91.3,0.5,1.2,24.6,32735,20543,24.6,12589,0.8,1.7,3.2,0.2,2,67.2,85900,24847,52.8,5.5,22.6,18.1,53.3,45.5,0,0.5,0.1,0.5,24847,53.2,595,6821,1530,468,0,0,0,0,0,0,348222,0,19.69534961,R
Clay County,Alabama,5363,2.47,74.6,11.1,10.5,90,1.9,2.9,30.7,38815,21115,16.7,6745,4.4,2.3,1.2,0,0.3,75.1,90000,13483,51.6,5,21.6,19.4,82.9,14.8,0.9,0,0,0.9,13483,80.3,190,3277,799,173,0,0,0,0,0,44,62963,5442,22.3391806,R
Cleburne County,Alabama,5834,2.54,74.2,11.5,6.5,87,1.7,3,33.8,36316,19791,19.6,6689,1.7,0.7,2.5,0.1,0.5,75.6,108100,14991,50.5,6.1,23.5,18.2,94.6,2.4,0.1,0.6,0,2,14991,92.8,160,1703,957,97,0,0,0,0,0,0,136073,0,26.64502771,R
Coffee County,Alabama,19375,2.6,85.1,23.7,16.8,84.5,3.7,6.7,21.1,47872,25325,16.4,22862,2.2,3.4,4.6,0.6,0.4,66.7,142800,50991,50.6,6.2,23.8,15.8,76.4,17.2,0.8,1.2,0,3.3,50991,71.4,986,13388,2661,818,20,0,0,0,0,201,789411,82915,75.44485905,R
Colbert County,Alabama,22105,2.44,83.4,18.5,9.8,88.4,1.6,2.4,23.6,43786,23318,16.5,26156,3.5,3.9,2.2,1,1.4,72.1,102500,54377,51.7,5.7,21.6,18.5,79.8,15.7,0.6,0.5,0.1,2.3,54377,78.9,1229,22474,3513,1008,0,0,0,0,0,108,841235,88153,91.48527921,R
Conecuh County,Alabama,5090,2.48,79.4,8.7,8.3,96.6,0.9,1.6,28.7,27609,16004,32.5,7055,0.8,4.1,2.1,0,0.8,78.5,72300,12697,52.5,6.2,22.2,20.3,51.9,46.3,0.1,0.1,0,1.5,12697,50.7,188,2441,687,152,0,0,0,0,0,0,106876,0,14.57966244,R
Coosa County,Alabama,4206,2.5,72.9,9.9,10.1,88.7,1.3,2.5,29.2,31910,18080,15.3,6453,0.7,1.3,1.1,0,0.2,79.5,76500,10864,50.7,4.5,18.3,18.7,66.3,32.4,0.1,0,0,1.3,10864,65,93,944,403,89,0,0,0,0,0,0,21878,0,16.25529435,R
Covington County,Alabama,15179,2.45,80.9,14.9,10.5,86.8,1,1.7,26.3,37313,21738,19,18783,1.8,1.4,2.2,0.2,0.7,74.7,93700,37729,51.7,5.8,22,20.2,84.5,13.1,0.3,0.5,0.1,1.1,37729,83.5,808,10187,2284,731,0,0,49,0,0,118,461752,0,36.35088638,R
Crenshaw County,Alabama,5426,2.53,78.3,14.6,8.4,88.1,2.3,3.2,28.2,37557,20455,18.2,6699,4.5,1,1.5,0,0.3,70.1,77600,13896,50.6,6,22.9,17.5,71.5,23.8,0.9,1.7,0,0.8,13896,70.9,214,3355,856,219,0,0,0,0,0,27,66953,0,22.85165973,R
Cullman County,Alabama,31081,2.58,82.2,15,8.8,91.6,2.8,4.6,26.5,39297,21041,17.1,37150,1.6,1.4,3.3,0.7,1.7,75.9,118700,81316,50.6,6,22.5,17.8,95.9,1.1,0.5,0.6,0,1.1,81316,92.5,1729,25274,5678,1609,0,0,0,0,0,339,1191283,151508,112.2210428,R
Dale County,Alabama,18794,2.58,85.8,16.1,17.8,81,2.7,4.6,20.4,44093,22834,20.5,22839,3.1,5.6,3.1,0.7,0.6,60.7,103800,49607,50.7,6.6,23.6,15.4,74.4,19.7,0.6,1,0,3,49607,70.2,739,11146,2429,608,0,0,0,0,0,103,373924,58590,87.727143,R
Dallas County,Alabama,16099,2.54,79,13.8,7.2,89.2,1.5,1.9,22.4,28136,17611,34.3,20242,6.4,7.7,3.8,0.4,0.8,58.3,81000,41426,53.8,6.4,25.2,15.7,28.7,69.5,0.2,0.4,0.1,0.9,41426,28.1,738,10487,2307,666,22,0,0,0,0,55,359988,44189,40.87894303,D
DeKalb County,Alabama,24811,2.82,72.6,11.4,7,87.8,7.3,11.8,23,38248,18685,19.8,31068,1.6,1.8,2.1,0.6,0.3,72.3,99600,70937,50.5,6.1,24.7,15.5,87.2,1.5,1.4,0.3,0.7,2.2,70937,81,1091,17745,4710,907,0,0,0,0,0,134,695901,97911,91.23734536,R
Elmore County,Alabama,28890,2.64,86.8,22.2,11.2,85.8,2,3.2,28.5,53398,24771,14.3,33322,0.8,2,2.9,1.6,1.1,73.4,152500,80957,51.4,5.9,22.9,13.9,75.4,21.4,0.3,0.6,0,1.7,80957,73.7,1167,14359,5189,872,0,0,0,0,0,133,774369,454770,132.256403,R
Escambia County,Alabama,13536,2.61,80.5,11.6,9.4,93.9,0.7,1.5,23.1,32334,17420,25.2,16421,2.4,4,4.3,0.6,0.6,71.2,93900,37875,48.8,6,22.3,16.7,61.9,32.4,3.5,0.1,0.2,1.3,37875,60.6,732,10055,2120,602,0,0,0,0,0,82,426491,303159,39.92040966,R
